"學年度","洲別","國別","學位生_正式修讀學位外國生","學位生_僑生(含港澳)","學位生_正式修讀學位陸生","非學位生_外國交換生","非學位生_外國短期研習及個人選讀","非學位生_大專附設華語文中心學生","非學位生_大陸研修生","非學位生_海青班","境外專班"
111,亞洲,越南,13649,2492,0,174,310,6962,0,35,204
111,亞洲,印尼,5388,4274,0,765,250,3938,0,150,1
111,亞洲,馬來西亞,3169,7755,0,67,57,596,0,763,95
111,亞洲,香港,0,9069,0,86,137,113,0,0,0
111,亞洲,日本,2465,205,0,888,624,3141,0,0,1
111,亞洲,泰國,1560,263,0,131,748,1892,0,8,2
111,亞洲,大陸地區,0,0,3121,0,0,7,22,0,0
111,亞洲,菲律賓,1486,70,0,76,137,1325,0,4,0
111,亞洲,印度,1452,12,0,372,256,514,0,0,0
111,亞洲,南韓,624,149,0,382,235,1008,0,0,0
111,亞洲,澳門,0,2120,0,59,2,4,0,0,0
111,亞洲,緬甸,248,1215,0,8,5,132,0,65,6
111,亞洲,蒙古,449,0,0,3,5,166,0,0,0
111,亞洲,俄羅斯,179,0,0,24,7,201,0,0,0
111,亞洲,新加坡,109,70,0,76,87,26,0,1,7
111,亞洲,巴基斯坦,232,0,0,0,24,17,0,0,0
111,亞洲,吉爾吉斯,104,0,0,0,0,91,0,0,0
111,亞洲,土耳其,61,0,0,15,12,78,0,0,0
111,亞洲,柬埔寨,62,32,0,0,4,58,0,0,1
111,亞洲,伊朗,57,5,0,0,2,29,0,0,0
111,亞洲,尼泊爾,69,0,0,1,2,11,0,0,0
111,亞洲,斯里蘭卡,46,0,0,1,3,10,0,0,0
111,亞洲,孟加拉,42,0,0,7,3,5,0,0,0
111,亞洲,以色列,8,0,0,12,3,33,0,0,0
111,亞洲,約旦,16,5,0,0,0,22,0,0,0
111,亞洲,寮國,22,3,0,0,0,5,0,0,1
111,亞洲,哈薩克,9,0,0,0,4,10,0,0,0
111,亞洲,汶萊,4,8,0,0,0,0,0,5,0
111,亞洲,伊拉克,8,0,0,0,0,4,0,0,0
111,亞洲,葉門,8,0,0,0,1,3,0,0,0
111,亞洲,土庫曼,8,0,0,0,0,2,0,0,0
111,亞洲,黎巴嫩,1,1,0,4,0,2,0,0,0
111,亞洲,烏茲別克,4,0,0,0,0,4,0,0,0
111,亞洲,塔吉克,6,0,0,0,0,2,0,0,0
111,亞洲,阿富汗,1,0,0,2,0,2,0,0,0
111,亞洲,喬治亞,1,0,0,0,4,0,0,0,0
111,亞洲,沙烏地阿拉伯,1,2,0,0,0,1,0,0,0
111,亞洲,巴勒斯坦,4,0,0,0,0,0,0,0,0
111,亞洲,賽普勒斯,0,0,0,2,0,1,0,0,0
111,亞洲,巴林,1,0,0,0,0,1,0,0,0
111,亞洲,不丹,1,0,0,0,0,1,0,0,0
111,亞洲,敘利亞,1,0,0,0,0,1,0,0,0
111,亞洲,亞美尼亞,1,0,0,0,1,0,0,0,0
111,亞洲,亞塞拜然,1,0,0,0,1,0,0,0,0
111,亞洲,馬爾地夫,0,0,0,0,0,1,0,0,0
111,亞洲,阿曼,1,0,0,0,0,0,0,0,0
111,大洋洲,澳大利亞,23,6,0,62,32,539,0,0,0
111,大洋洲,紐西蘭,4,7,0,3,15,129,0,0,0
111,大洋洲,帛琉,55,2,0,0,0,29,0,0,0
111,大洋洲,馬紹爾群島共和國,48,2,0,0,0,21,0,0,0
111,大洋洲,諾魯,21,0,0,0,0,31,0,0,0
111,大洋洲,巴布亞紐幾內亞,25,1,0,0,0,17,0,0,0
111,大洋洲,吐瓦魯,15,0,0,0,0,23,0,0,0
111,大洋洲,斐濟,5,1,0,0,0,14,0,0,0
111,大洋洲,索羅門群島,10,0,0,0,0,0,0,0,0
111,大洋洲,吉里巴斯,2,0,0,0,0,1,0,0,0
111,大洋洲,萬那杜,1,0,0,0,0,0,0,0,0
111,非洲,史瓦帝尼王國,292,3,0,0,0,99,0,0,0
111,非洲,衣索比亞,171,0,0,1,1,8,0,0,0
111,非洲,南非,44,39,0,3,3,30,0,1,0
111,非洲,索馬利蘭共和國,45,0,0,0,0,35,0,0,0
111,非洲,坦尚尼亞,60,0,0,0,0,12,0,0,0
111,非洲,奈及利亞,44,3,0,0,5,17,0,0,1
111,非洲,埃及,50,0,0,1,8,9,0,0,0
111,非洲,馬拉威,50,0,0,0,0,4,0,0,0
